recap_id,game_id,text
11,100011,"On October 24, 2025, the Bakersfield Wranglers welcomed the Reno Ridgebacks at home. The Bakersfield Wranglers defeated the Reno Ridgebacks by a score of 120-116. Brennan paced the Bakersfield Wranglers attack, scoring 31 points. Kirby scored 30 points to lead the Reno Ridgebacks. The Bakersfield Wranglers led 62-61 at the half after two competitive quarters. The Bakersfield Wranglers overcame a 4-point deficit at one stage to win the game. The go-ahead bucket late in the game came from Brennan of the Bakersfield Wranglers. The Bakersfield Wranglers knocked down 10 shots from deep. 8 lead changes kept the outcome in doubt until late in the game."
12,100012,"Never trailing at any point, the Birmingham Foxes beat the Baton Rouge Falcons 117-107 on October 24, 2025, thanks to a 58-54 cushion built by halftime. Brennan poured in a game-high 34 points for Birmingham despite battling foul trouble, and Godfrey answered with 27 for Baton Rouge. The difference showed up on the other end of the floor too, where the Falcons coughed the ball up 21 times and never recovered from the deficit the Foxes had established early. Birmingham controlled the tempo from the opening whistle, and the Falcons never found the answer that might have let them climb back into it."
13,100013,"The Albany Condors visited the Tulsa Admirals on October 24, 2025. The ALB beat the TUL, 122-90. Cortez was the top scorer for the Albany Condors, going for 25 points. Tulsa Admirals scorer Hargrove put up 22 points. Heading into halftime, the Albany Condors led 59-40 through two quarters of play. The Albany Condors led wire-to-wire from the opening tip. Reserves for the Albany Condors scored 57 points. The Albany Condors built a lead as big as 38 points during the game."
14,100014,"On the road on October 24, 2025, the HON took on the AUS at the Austin Sentinels' arena. The HON beat the AUS, 117-112. Sinclair was the top scorer for the Honolulu Miners, going for 44 points. For the Austin Sentinels, Dupree and Whitaker scored a team-high 16 points. Heading into halftime, the Honolulu Miners led 63-52 through two quarters of play. The Honolulu Miners did not trail at any point in the game. It was Sinclair who put the Honolulu Miners ahead for good late in the fourth. Sinclair posted a double-double with 44 points and 12 rebounds. Pruitt and Bellamy dealt with foul trouble over the course of the game."
15,100015,"The Providence Skylarks visited the El Paso Ospreys on October 24, 2025. The El Paso Ospreys defeated the Providence Skylarks by a score of 137-109. For the winners, Rivera scored 22 points. Providence Skylarks scorer Donnelly put up 21 points. At the break, the El Paso Ospreys were up 66-57 after the opening two quarters. Down by as many as 4 points during the game, the El Paso Ospreys still found a way to win. It was Carver who put the El Paso Ospreys ahead for good late in the fourth. The margin of victory was 28 points. Abbott dealt with foul trouble over the course of the game."
16,100016,"On the road on October 24, 2025, the FRE took on the TAC at the Tacoma Talons' arena. The final score was Tacoma Talons 98, Fresno Bison 79. Vance paced the Tacoma Talons attack, scoring 21 points. For the Fresno Bison, Ellison scored a team-high 20 points. The Tacoma Talons held a 48-41 edge at the half of a closely contested game. The Tacoma Talons erased a 3-point hole along the way to close out the win. Rhodes delivered the decisive go-ahead score for the Tacoma Talons down the stretch. Donnelly (TAC), a rotation regular, did not appear in the box score. The Tacoma Talons opened up a 26-point advantage at one point in the game."
17,100017,"On October 24, 2025, the ALE and the BUF met, with the Buffalo Marshals on the road. The Albuquerque Lancers defeated the Buffalo Marshals by a score of 121-103. For the winners, Salazar scored 24 points. Buffalo Marshals scorer Thornton put up 25 points. At the break, the Albuquerque Lancers were up 56-50 after the opening two quarters. The Albuquerque Lancers never trailed at any point in the game. Salazar pulled down a game-high 15 rebounds. The Albuquerque Lancers opened up a 19-point advantage at one point in the game."
18,100018,"On October 25, 2025, the Columbus Voyagers welcomed the Tacoma Talons at home. The Columbus Voyagers came away with a 120-110 victory over the Tacoma Talons. Sinclair paced the Columbus Voyagers attack, scoring 32 points. Bellamy scored 27 points to lead the Tacoma Talons. Heading into halftime, the Columbus Voyagers led 60-48 through two quarters of play. The Columbus Voyagers never trailed at any point in the game. Sinclair dished out a team-high 8 assists. Ramsey and Sinclair battled foul trouble for stretches of the game."
19,100019,"The Cheyenne Pioneers hosted the Fresno Bison on October 25, 2025. The Cheyenne Pioneers topped the Fresno Bison, 129-108. Salazar was the top scorer for the Cheyenne Pioneers, going for 22 points. For the Fresno Bison, Barnett scored a team-high 19 points. The Cheyenne Pioneers took a 63-60 lead into the locker room at the break. Down by as many as 5 points during the game, the Cheyenne Pioneers still found a way to win. The go-ahead bucket late in the game came from Radford of the Cheyenne Pioneers. 17 made threes came from the Cheyenne Pioneers. The Cheyenne Pioneers built a lead as big as 24 points during the game."
20,100020,"The Honolulu Miners hosted the Boise Glaciers on October 25, 2025. The Honolulu Miners won, 128-110, over the Boise Glaciers. Honolulu Miners scorer Sinclair finished with a game-high 49 points. McAllister scored 31 points to lead the Boise Glaciers. The Honolulu Miners took a 67-51 lead into the locker room at the break. The Honolulu Miners did not trail at any point in the game. 12 turnovers plagued the Boise Glaciers. Sawyer picked up enough fouls during the game to be in foul trouble."
21,100021,"On October 26, 2025, the Bakersfield Wranglers welcomed the Austin Sentinels at home. The Austin Sentinels won, 114-113, over the Bakersfield Wranglers. Bellamy was the top scorer for the Austin Sentinels, going for 28 points. Brennan paced the Bakersfield Wranglers with 32 points despite the loss. At the break, the Austin Sentinels were up 58-53 after the opening two quarters. The Austin Sentinels erased a 4-point hole along the way to close out the win. Emerson delivered the decisive go-ahead score for the Austin Sentinels down the stretch. The Austin Sentinels bench unit produced 42 points. The Austin Sentinels built a lead as big as 5 points during the game."
22,100022,"On October 26, 2025, the BOI and the DES met, with the Des Moines Vultures on the road. The Boise Glaciers defeated the Des Moines Vultures by a score of 114-110. Montgomery was the top scorer for the Boise Glaciers, going for 31 points. For the Des Moines Vultures, Redmond scored a team-high 33 points. The Boise Glaciers led 63-53 at the half after two competitive quarters. The Boise Glaciers erased a 3-point hole along the way to close out the win. Montgomery came up with the go-ahead basket in the final stretch of the game. Redmond recorded a double-double at 33 points and 8 assists. The Boise Glaciers led by as many as 13 points at one stage of the game."
23,100023,"The Albuquerque Lancers hosted the Raleigh Wardens on October 26, 2025. The Albuquerque Lancers defeated the Raleigh Wardens by a score of 107-101. Salazar led the Albuquerque Lancers with 27 points. Raleigh Wardens scorer Ramsey put up 31 points. The Albuquerque Lancers took a 60-45 lead into the locker room at the break. The Albuquerque Lancers led wire-to-wire from the opening tip. The margin of victory was 6 points. The Albuquerque Lancers' largest lead of the game was 20 points."
24,100024,"On the road on October 26, 2025, the SPO took on the JAC at the Jacksonville Cobras' arena. The SPO beat the JAC, 117-100. Zimmer was the top scorer for the Spokane Outlaws, going for 31 points. Jacksonville Cobras scorer Brennan put up 17 points. At the break, the Jacksonville Cobras were up 55-51 after the opening two quarters. The Spokane Outlaws trailed by 6 points at one stage before pulling away for good. The go-ahead bucket late in the game came from Ellison-Reyes of the Spokane Outlaws. Radford (SPO), a rotation regular, did not appear in the box score. Foul trouble limited Vasquez for parts of the game."
25,100025,"On October 26, 2025, the Missoula Anchors traveled to face the Honolulu Miners. The Missoula Anchors topped the Honolulu Miners, 122-108. Missoula Anchors scorer Keller finished with a game-high 25 points. Zimmer led the Honolulu Miners with 41 points in the loss. The Missoula Anchors led 64-48 at the half after two competitive quarters. The Missoula Anchors did not trail at any point in the game. Oakley paced the glass work with 14 boards. The Missoula Anchors led by as many as 18 points at one stage of the game."
26,100026,"On October 27, 2025, the BAT and the ALE met, with the Albuquerque Lancers on the road. The Albuquerque Lancers came away with a 125-92 victory over the Baton Rouge Falcons. Salazar paced the Albuquerque Lancers attack, scoring 40 points. Godfrey scored 22 points to lead the Baton Rouge Falcons. Heading into halftime, the Albuquerque Lancers led 64-45 through two quarters of play. Down by as many as 6 points during the game, the Albuquerque Lancers still found a way to win. Salazar came up with the go-ahead basket in the final stretch of the game. Ball movement ran through Dalton, who had 6 assists. The two teams traded the lead 7 times during the contest."
27,100027,"On October 27, 2025, the MIS and the ANC met, with the Anchorage Herons on the road. The Missoula Anchors defeated the Anchorage Herons by a score of 109-107. Keller paced the Missoula Anchors attack, scoring 23 points. Fairbanks led the Anchorage Herons with 22 points in the loss. The Missoula Anchors held a 58-55 edge at the half of a closely contested game. The Missoula Anchors did not trail at any point in the game. The go-ahead bucket late in the game came from Castellano of the Missoula Anchors. The Missoula Anchors knocked down 11 shots from deep. Foul trouble was an issue at times for Keller and Keller and Sawyer."
28,100028,"El Paso Ospreys erased a 3-point hole and rode a 65-56 halftime lead to a 139-121 road win over the Buffalo Marshals on October 27, 2025, with Damian Stanton supplying the decisive go-ahead score down the stretch. Salazar scored 31 for the winners, matching Redmond's team-high 31 for Buffalo, and El Paso pushed the margin as high as 20 points along the way. The Marshals' 10 turnovers didn't help their cause as the visitors pulled away late. El Paso's balance up front made the difference once the Marshals started giving the ball away in bunches down the stretch."
29,100029,"The Grand Rapids Drifters hosted the Reno Ridgebacks on October 27, 2025. The final score was Grand Rapids Drifters 126, Reno Ridgebacks 113. Grand Rapids Drifters scorer Salazar finished with a game-high 27 points. Reno Ridgebacks scorer Kirby put up 30 points. The Grand Rapids Drifters took a 69-54 lead into the locker room at the break. The Grand Rapids Drifters trailed by 3 points at one stage before pulling away for good. Kirby delivered the decisive go-ahead score for the Grand Rapids Drifters down the stretch. 46 bench points helped the Grand Rapids Drifters. The lead changed hands 3 times during the course of the game."
30,100030,"On October 27, 2025, the Fresno Bison welcomed the Tulsa Admirals at home. The FRE beat the TUL, 126-124. Pruitt topped all scorers for the Fresno Bison with 34 points. Hargrove scored 30 points to lead the Tulsa Admirals. Heading into halftime, the Tulsa Admirals led 65-63 through two quarters of play. Down by as many as 5 points during the game, the Fresno Bison still found a way to win. The go-ahead bucket late in the game came from Boone of the Fresno Bison. Barnett added a double-double, going for 14 points and 1 assists. Barnett battled foul trouble for stretches of the game."
31,100031,"On the road on October 27, 2025, the BIR took on the SPO at the Spokane Outlaws' arena. The Spokane Outlaws defeated the Birmingham Foxes by a score of 127-108. Spokane Outlaws scorer Ellison-Reyes (KER) finished with a game-high 31 points. Brennan led the Birmingham Foxes with 19 points in the loss. At the break, the Spokane Outlaws were up 65-54 after the opening two quarters. The Spokane Outlaws rallied back from a 5-point deficit to come away with the win. Brennan came up with the go-ahead basket in the final stretch of the game. The final margin was 19 points. The Spokane Outlaws led by up to 22 points along the way to the win."
32,100032,"On October 27, 2025, the Honolulu Miners welcomed the Tacoma Talons at home. The Tacoma Talons defeated the Honolulu Miners by a score of 119-109. Vance led the Tacoma Talons with 31 points. Sinclair led the Honolulu Miners with 43 points in the loss. The Tacoma Talons led 63-54 at the half after two competitive quarters. Down by as many as 4 points during the game, the Tacoma Talons still found a way to win. It was Navarro who put the Tacoma Talons ahead for good late in the fourth. Langford, normally in the rotation for the Tacoma Talons, did not play. The game featured 18 lead changes before it was finally decided."
33,100033,"Trent Whitaker's go-ahead basket down the stretch put the Austin Sentinels in front for good as they beat the Des Moines Vultures 128-103 at home on October 27, 2025. Austin had briefly trailed by 1 point despite taking a 63-53 lead into the break, and Dalton led the way with 27 points against Bellamy's 26 for Des Moines. Rivera grabbed a team-best 9 rebounds, and foul trouble limited Godfrey for stretches as the Sentinels pulled away. Austin's response after that brief scare set the tone for the rest of the night in front of the home crowd."
34,100034,"On October 28, 2025, the Baton Rouge Falcons welcomed the Des Moines Vultures at home. The final score was Baton Rouge Falcons 107, Des Moines Vultures 105. Sheffield topped all scorers for the Baton Rouge Falcons with 20 points. Redmond scored 27 points to lead the Des Moines Vultures. At the break, the Baton Rouge Falcons were up 55-47 after the opening two quarters. The Baton Rouge Falcons were in front the entire game, never trailing once. The go-ahead bucket late in the game came from Thackeray of the Baton Rouge Falcons. Ball movement ran through Navarro, who had 5 assists. The Baton Rouge Falcons built a lead as big as 14 points during the game."
35,100035,"On October 28, 2025, the Cheyenne Pioneers traveled to face the Reno Ridgebacks. The Reno Ridgebacks came away with a 105-104 victory over the Cheyenne Pioneers. Reno Ridgebacks scorer Kirby finished with a game-high 31 points. For the Cheyenne Pioneers, Bellamy scored a team-high 33 points. The Cheyenne Pioneers led 57-53 at the half after two competitive quarters. The Reno Ridgebacks erased a 9-point hole along the way to close out the win. Pruitt delivered the decisive go-ahead score for the Reno Ridgebacks down the stretch. 14 made threes came from the Reno Ridgebacks. It was a back-and-forth affair, with 5 lead changes along the way."
36,100036,"On the road on October 29, 2025, the BAK took on the CHE at the Cheyenne Pioneers' arena. The Cheyenne Pioneers came away with a 138-134 victory over the Bakersfield Wranglers. For the winners, Bellamy scored 51 points. Brennan led the Bakersfield Wranglers with 34 points in the loss. At the break, the Bakersfield Wranglers were up 67-64 after the opening two quarters. The Cheyenne Pioneers overcame a 5-point deficit at one stage to win the game. Jennings hit the go-ahead jumper late in the fourth quarter. Ball security was a problem, with the Bakersfield Wranglers turning it over 14 times. Foul trouble limited Kirby and Salazar and Jennings and Ellison and Yates for parts of the game."
37,100037,"On October 29, 2025, the Reno Ridgebacks welcomed the Honolulu Miners at home. The Honolulu Miners came away with a 127-120 victory over the Reno Ridgebacks. Zimmer led the Honolulu Miners with 51 points. On the losing side, Kirby scored 32 points. At the break, the Honolulu Miners were up 67-64 after the opening two quarters. The Honolulu Miners erased a 3-point hole along the way to close out the win. Ocampo hit the go-ahead jumper late in the fourth quarter. 22 bench points helped the Honolulu Miners. The Honolulu Miners built a lead as big as 10 points during the game."
38,100038,"On October 29, 2025, the Louisville Nomads traveled to face the El Paso Ospreys. The final score was Louisville Nomads 115, El Paso Ospreys 111. Louisville Nomads scorer Vance finished with a game-high 21 points. Salazar led the El Paso Ospreys with 37 points in the loss. Heading into halftime, the El Paso Ospreys led 58-57 through two quarters of play. Down by as many as 2 points during the game, the Louisville Nomads still found a way to win. It was Salazar who put the Louisville Nomads ahead for good late in the fourth. Stanton turned in a double-double with 11 points and 10 rebounds. The game featured 18 lead changes before it was finally decided."
39,100039,"The Des Moines Vultures hosted the Spokane Outlaws on October 29, 2025. The final score was Spokane Outlaws 141, Des Moines Vultures 135. For the winners, Ellison-Reyes scored 55 points. Bellamy scored 36 points to lead the Des Moines Vultures. The Spokane Outlaws took a 69-62 lead into the locker room at the break. The Spokane Outlaws trailed by 8 points at one stage before pulling away for good. The go-ahead bucket late in the game came from Thackeray of the Spokane Outlaws. The Spokane Outlaws came out on top by 6 points. Larkin and Bellamy and Brennan and Winslow spent stretches of the game in foul trouble."
40,100040,"On October 29, 2025, the Missoula Anchors traveled to face the Fresno Bison. The Fresno Bison defeated the Missoula Anchors by a score of 114-107. Pruitt topped all scorers for the Fresno Bison with 30 points. Keller paced the Missoula Anchors with 23 points despite the loss. Heading into halftime, the Fresno Bison led 59-57 through two quarters of play. The Fresno Bison overcame a 5-point deficit at one stage to win the game. The go-ahead bucket late in the game came from Boone of the Fresno Bison. The Missoula Anchors were without regular contributor McAllister. The Fresno Bison opened up a 14-point advantage at one point in the game."
41,100041,"Kofi Salazar hit the go-ahead jumper late in the fourth as the Albuquerque Lancers erased a 5-point deficit to beat the Tulsa Admirals 120-116 on the road on October 29, 2025. Salazar finished with a game-high 29 points, while Carver led Tulsa with 27; the Admirals had actually held a 60-59 edge at halftime. Dalton grabbed a game-high 12 rebounds, and with only 1 lead change the whole way, the outcome stayed in doubt deep into the fourth quarter. It stayed a coin-flip contest until Salazar's late heroics finally tilted things Albuquerque's way for good."
42,100042,"Derek Jennings put the Raleigh Wardens ahead for good late in the fourth as they ran past the Austin Sentinels 146-114 on the road on October 29, 2025, despite trailing by 6 points earlier in the game. Ramsey led Raleigh with a game-high 24 points, Pruitt answered with a team-high 19 for Austin, and the Wardens had already built a 74-62 halftime cushion. Dominic Emerson dished 8 assists for Austin, and Raleigh's lead ballooned to 36 points at its peak. Raleigh's offense hummed from wire to wire once the Wardens shook off that early deficit and found their rhythm."
43,100043,"On October 30, 2025, the Anchorage Herons traveled to face the Tacoma Talons. The Tacoma Talons defeated the Anchorage Herons by a score of 137-131. Bellamy led the Tacoma Talons with 42 points. Anchorage Herons scorer Rivera put up 50 points. The Tacoma Talons took a 78-67 lead into the locker room at the break. The Tacoma Talons did not trail at any point in the game. The Tacoma Talons knocked down 18 shots from deep. The Tacoma Talons built a lead as big as 14 points during the game."
44,100044,"On October 30, 2025, the BAK and the CHE met, with the Cheyenne Pioneers on the road. The Bakersfield Wranglers topped the Cheyenne Pioneers, 118-96. Brennan was the top scorer for the Bakersfield Wranglers, going for 36 points. Cheyenne Pioneers scorer Bellamy put up 33 points. The Bakersfield Wranglers led 59-48 at the half after two competitive quarters. The Bakersfield Wranglers did not trail at any point in the game. 21 turnovers plagued the Cheyenne Pioneers. Rivera dealt with foul trouble over the course of the game."
45,100045,"Albuquerque Lancers overcame an early 6-point deficit and got the late go-ahead bucket from Kofi Salazar, who scored a game-high 31 points, to beat the visiting Providence Skylarks 118-107 on October 30, 2025. Salazar's Lancers had led 59-50 at the break, and 41 points off their bench proved decisive even though Jennings dropped 41 of his own for Providence. Abbott and Mercer both picked up enough fouls to land in foul trouble along the way. Providence simply could not match the depth Albuquerque brought off its bench once the lead changed hands for good."
46,100046,"On October 31, 2025, the Austin Sentinels welcomed the Tulsa Admirals at home. The Austin Sentinels defeated the Tulsa Admirals by a score of 128-122. Bellamy was the top scorer for the Austin Sentinels, going for 35 points. Tulsa Admirals scorer Carver put up 27 points. At halftime, the Tulsa Admirals were ahead 65-64 following the first two periods. The Austin Sentinels overcame a 8-point deficit at one stage to win the game. It was Whitaker who put the Austin Sentinels ahead for good late in the fourth. The Austin Sentinels won it by 6. The Austin Sentinels led by as many as 9 points at one stage of the game."
47,100047,"On October 31, 2025, the MIS and the TAC met, with the Tacoma Talons on the road. The Missoula Anchors won, 139-119, over the Tacoma Talons. Keller paced the Missoula Anchors attack, scoring 26 points. For the Tacoma Talons, Bellamy scored a team-high 35 points. The Missoula Anchors led 62-57 at the half after two competitive quarters. The Missoula Anchors overcame a 4-point deficit at one stage to win the game. It was Mercer who put the Missoula Anchors ahead for good late in the fourth. The margin of victory was 20 points. The lead changed hands 12 times during the course of the game."
48,100048,"On October 31, 2025, the Boise Glaciers welcomed the Honolulu Miners at home. The Honolulu Miners topped the Boise Glaciers, 116-115. Zimmer was the top scorer for the Honolulu Miners, going for 28 points. Boise Glaciers scorer Montgomery put up 33 points. Heading into halftime, the Honolulu Miners led 59-54 through two quarters of play. The Honolulu Miners did not trail at any point in the game. It was Ocampo who put the Honolulu Miners ahead for good late in the fourth. Sinclair sat out for the Honolulu Miners, absent from the box score. Foul trouble limited Hastings and Radford for parts of the game."
49,100049,"On October 31, 2025, the Fresno Bison welcomed the Bakersfield Wranglers at home. The final score was Fresno Bison 129, Bakersfield Wranglers 102. For the winners, Ellison scored 30 points. Bakersfield Wranglers scorer Wakefield put up 21 points. The Fresno Bison held a 68-46 edge at the half of a closely contested game. The Fresno Bison controlled the game from start to finish, never trailing. Boone paced the glass work with 7 boards. The Fresno Bison' largest lead of the game was 28 points."
50,100050,"On November 1, 2025, the TAC and the DES met, with the Des Moines Vultures on the road. The Tacoma Talons topped the Des Moines Vultures, 114-83. For the winners, Vance scored 21 points. Lockhart paced the Des Moines Vultures with 14 points despite the loss. The Tacoma Talons led 60-43 at the half after two competitive quarters. The Tacoma Talons trailed by 2 points at one stage before pulling away for good. Marlow provided the go-ahead points for the Tacoma Talons in the closing minutes. Lockhart handed out 9 assists to lead all passers. The lead changed hands 2 times during the course of the game."
51,100051,"The Tulsa Admirals hosted the Missoula Anchors on November 1, 2025. The Missoula Anchors won, 125-117, over the Tulsa Admirals. Castellano was the top scorer for the Missoula Anchors, going for 35 points. Gentry paced the Tulsa Admirals with 26 points despite the loss. At the break, the Missoula Anchors were up 63-53 after the opening two quarters. The Missoula Anchors rallied back from a 1-point deficit to come away with the win. Abbott provided the go-ahead points for the Missoula Anchors in the closing minutes. The Missoula Anchors knocked down 13 shots from deep. Keller spent stretches of the game in foul trouble."
52,100052,"Carlos Navarro provided the go-ahead points down the stretch as the Albany Condors blew past the Austin Sentinels 131-95 at home on November 1, 2025, after briefly trailing by 3 points. Navarro finished with 24 for the winners against Pruitt's 18 for Austin, and Albany's 69-44 halftime lead only grew from there, eventually reaching 43 points. Foul trouble dogged Pruitt as the Sentinels turned it over 10 times in a game that got away from them early. Albany's balance up and down the roster turned a competitive first half into a laugher by the final horn."
53,100053,"On November 1, 2025, the Spokane Outlaws welcomed the Reno Ridgebacks at home. The final score was Spokane Outlaws 113, Reno Ridgebacks 99. Ellison-Reyes led the Spokane Outlaws with 33 points. Easton paced the Reno Ridgebacks with 21 points despite the loss. The Spokane Outlaws held a 54-44 edge at the half of a closely contested game. The Spokane Outlaws controlled the game from start to finish, never trailing. The Spokane Outlaws got 29 points off the bench. Brennan picked up enough fouls during the game to be in foul trouble."
54,100054,"On November 1, 2025, the Baton Rouge Falcons traveled to face the El Paso Ospreys. The El Paso Ospreys topped the Baton Rouge Falcons, 110-102. Zimmer was the top scorer for the El Paso Ospreys, going for 27 points. McAllister scored 29 points to lead the Baton Rouge Falcons. The El Paso Ospreys held a 54-50 edge at the half of a closely contested game. The El Paso Ospreys did not trail at any point in the game. Carver recorded a double-double at 26 points and 6 assists. Carver picked up enough fouls during the game to be in foul trouble."
55,100055,"On November 2, 2025, the RAL and the MIS met, with the Missoula Anchors on the road. The RAL beat the MIS, 136-131. Jennings topped all scorers for the Raleigh Wardens with 29 points. Keller paced the Missoula Anchors with 33 points despite the loss. The Raleigh Wardens led 71-64 at the half after two competitive quarters. The Raleigh Wardens never trailed at any point in the game. Quigley delivered the decisive go-ahead score for the Raleigh Wardens down the stretch. The Raleigh Wardens won it by 5. At one stretch of the game, the Raleigh Wardens were ahead by 17 points."
56,100056,"The Cheyenne Pioneers hosted the Spokane Outlaws on November 2, 2025. The Spokane Outlaws came away with a 144-112 victory over the Cheyenne Pioneers. Spokane Outlaws scorer Ellison-Reyes (KER) finished with a game-high 31 points. For the Cheyenne Pioneers, Kirby scored a team-high 20 points. At the break, the Spokane Outlaws were up 73-62 after the opening two quarters. Down by as many as 3 points during the game, the Spokane Outlaws still found a way to win. Zimmer hit the go-ahead jumper late in the fourth quarter. Pruitt, normally in the rotation for the Cheyenne Pioneers, did not play. It was a back-and-forth affair, with 18 lead changes along the way."
57,100057,"On November 2, 2025, the BOI and the ANC met, with the Anchorage Herons on the road. The ANC beat the BOI, 123-112. Anchorage Herons scorer Wolfe finished with a game-high 27 points. On the losing side, Montgomery and McAllister scored 26 points. The Boise Glaciers led 60-57 at the half after two competitive quarters. The Anchorage Herons rallied back from a 9-point deficit to come away with the win. Fairbanks delivered the decisive go-ahead score for the Anchorage Herons down the stretch. Wolfe cleaned up 12 rebounds to lead all players. Foul trouble limited Sawyer and Rivera and Emerson for parts of the game."
58,100058,"On the road on November 2, 2025, the ALE took on the BAK at the Bakersfield Wranglers' arena. The final score was Bakersfield Wranglers 111, Albuquerque Lancers 102. Wakefield led the Bakersfield Wranglers with 25 points. Holloway led the Albuquerque Lancers with 26 points in the loss. The Bakersfield Wranglers held a 55-52 edge at the half of a closely contested game. The Bakersfield Wranglers erased a 9-point hole along the way to close out the win. Wakefield hit the go-ahead jumper late in the fourth quarter. Distributing the ball, Brennan finished with 7 assists. The Bakersfield Wranglers opened up a 16-point advantage at one point in the game."
